parameter_name,Retina (combined)
gene_symbol,Cdin1
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
analysis_id,qh041vfya56j057
pvalue,0.1806778
