analysis_id,cl68b00qi743s80
pvalue,0.6697049
gene_accession_id,MGI:1922855
mouse_strain,C57BL
gene_symbol,Kdm5b
parameter_id,JAXLA_CSD_077_001
mouse_life_stage,Early adult
parameter_name,Contact righting
