analysis_id,5x029895y03oeg9
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
pvalue,1.419681
gene_symbol,Kdm4c
parameter_name,Hindlimb digit - size
