analysis_id,6et03fj5qyupcd9
pvalue,0.5604753
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Early adult
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
mouse_strain,C57BL
parameter_id,MGP_MLN_009_001
