gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
analysis_id,n607t1p9diug704
pvalue,0.4895522
mouse_strain,C57BL
parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
mouse_life_stage,E18.5
