analysis_id,09q3v8xi8v79ece
pvalue,0.64967
gene_symbol,Slc39a10
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,M-G-P_014_001_009
parameter_name,lens
gene_accession_id,MGI:1914515
