analysis_id,9u562xw2kx83228
parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
mouse_life_stage,Early adult
gene_symbol,Cds2
mouse_strain,129SV
pvalue,0.5381659
gene_accession_id,MGI:1332236
