analysis_id,ruf3z7f1l5276ft
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1913284
gene_symbol,Psmd14
parameter_id,MGP_IMM_027_001
mouse_life_stage,Early adult
pvalue,0.8467737
mouse_strain,C57BL
