analysis_id,4odf3m309zs1d36
pvalue,0.9947989
parameter_name,Center permanence time
mouse_strain,C57BL
parameter_id,JAX_OFD_016_001
gene_symbol,Psmd14
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
