analysis_id,o015gkz263y789v
gene_accession_id,MGI:109356
parameter_id,IMPC_CSD_028_001
gene_symbol,Snap23
pvalue,0.5944277
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Snout size
