analysis_id,yb9kvg063dtr4z4
mouse_life_stage,Early adult
parameter_name,Transitional 1 B cells - % of CD45+
pvalue,0.664436
parameter_id,MGP_IMM_110_001
gene_accession_id,MGI:1919949
gene_symbol,Lime1
mouse_strain,C57BL
