parameter_name,Embryo Size
mouse_life_stage,Middle aged adult
parameter_id,IMPC_GEO_019_001
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
analysis_id,of7m1r89h54jdi6
pvalue,0.2390296
