analysis_id,8w60537td817ot7
mouse_life_stage,E9.5
parameter_name,Neutrophil cell count
gene_accession_id,MGI:1917810
pvalue,0.2579745
mouse_strain,C57BL
gene_symbol,Wars2
parameter_id,IMPC_HEM_030_001
