gene_symbol,Lcn2
parameter_id,IMPC_CBC_010_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Phosphorus
analysis_id,a3o0oof1z733962
pvalue,0.4260404
gene_accession_id,MGI:96757
