mouse_strain,129SV
gene_accession_id,MGI:1918025
pvalue,0.06841533
mouse_life_stage,Early adult
gene_symbol,Zmynd8
parameter_id,IMPC_IMM_032_001
analysis_id,hi127cv526e15u1
parameter_name,CD8 CD44+CD62L- T cells
