analysis_id,4723x6xdfqv2i27
parameter_name,Fat/Body weight
mouse_strain,129SV
parameter_id,JAXLA_DXA_009_001
pvalue,0.8856301
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
