gene_symbol,Toporsl
pvalue,0.5237807
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
parameter_name,B cell number
gene_accession_id,MGI:1915524
analysis_id,oc431902n7693c0
mouse_life_stage,Early adult
