gene_symbol,Snap23
mouse_life_stage,Late adult
parameter_id,IMPC_XRY_007_001
pvalue,0.05799611
gene_accession_id,MGI:109356
mouse_strain,C57BL
parameter_name,Clavicle
analysis_id,xpv1668xkwo5n32
