analysis_id,zkw4ojewq34p1o4
parameter_name,Gait
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
gene_symbol,AU040320
pvalue,0.7892087
