analysis_id,yr964p99235ct81
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_name,Fractional Shortening
pvalue,0.1170553
gene_accession_id,MGI:99501
parameter_id,IMPC_ECH_005_001
gene_symbol,Fgb
