parameter_name,Whole arena average speed
parameter_id,JAX_OFD_009_001
analysis_id,v320v1626c03gwn
pvalue,0.304277
gene_symbol,Slc28a2
mouse_strain,C57BL
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
