parameter_name,Time mobile dark side
gene_accession_id,MGI:2446274
parameter_id,JAX_LDT_005_001
analysis_id,ula39w59g1saa85
gene_symbol,Frmpd1
pvalue,0.9934804
mouse_life_stage,Early adult
mouse_strain,C57BL
