analysis_id,4m2rf1xf0b7c6o9
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
pvalue,0.6037919
