parameter_name,Light side time spent
gene_symbol,Rnf114
pvalue,0.8487921
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
gene_accession_id,MGI:1933159
analysis_id,7bv24u82rgcnzfl
mouse_life_stage,Early adult
