gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
analysis_id,v3wq5645ei72095
pvalue,0.07827476
parameter_name,Coat - hair distribution - head
parameter_id,IMPC_CSD_012_001
mouse_life_stage,Early adult
mouse_strain,C57BL
