gene_symbol,Hspa5
mouse_life_stage,E12.5
parameter_name,DN NKT cells
gene_accession_id,MGI:95835
parameter_id,IMPC_IMM_013_001
mouse_strain,C57BL
analysis_id,0oo2f564vv1w3r4
pvalue,0.2090578
