analysis_id,affmyi96h4a221i
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
parameter_id,IMPC_GEL_028_001
pvalue,0.6117895
gene_symbol,Mecom
parameter_name,Forebrain
mouse_strain,C57BL
