analysis_id,82d507z49o5k1rc
parameter_id,JAX_OFD_013_001
parameter_name,Periphery average speed
mouse_life_stage,Early adult
gene_symbol,Mecom
pvalue,0.2847476
mouse_strain,C3H
gene_accession_id,MGI:95457
