analysis_id,531y77826g95uv5
gene_symbol,Ap5s1
mouse_strain,C57BL
gene_accession_id,MGI:1916846
parameter_id,HRWLLA_GRS_010_001
pvalue,0.3123803
mouse_life_stage,Early adult
parameter_name,Forelimb grip strength normalised against body weight
