Gene_symbol,Ntmt2
parameter_name,Pale yolk sac
Mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5501665
analysis_id,wo2l1q2o3b716e2
Parameter_id,IMPC_GEL_017_002
gene_accession_id,MGI:2685053
