parameter_name,Snout morphology
gene_accession_id,MGI:3046938
parameter_id,MGP_CSD_066_001
mouse_strain,C57BL
gene_symbol,Hrnr
mouse_life_stage,Early adult
analysis_id,8sh60yuq6m2h9x4
pvalue,0.9176691
