parameter_name,Head coat/hair presence
gene_accession_id,MGI:95457
analysis_id,24j418c2c720t59
gene_symbol,Mecom
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,MGP_CSD_015_001
pvalue,0.7019937
