analysis_id,0337h8iqi15fi57
parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:1860103
gene_symbol,Slc2a8
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_067_001
pvalue,0.7779643
