parameter_name,Centre resting time
analysis_id,p98q10e24uu9f6l
gene_symbol,Cdin1
pvalue,0.114914
mouse_strain,C57BL
gene_accession_id,MGI:3026886
parameter_id,ESLIM_007_001_011
mouse_life_stage,E9.5
