gene_symbol,Kdm5b
pvalue,0.3689387
gene_accession_id,MGI:1922855
parameter_id,M-G-P_007_001_010
parameter_name,center - distance
analysis_id,qc42x2073ysw90l
mouse_strain,C57BL
mouse_life_stage,Early adult
