parameter_name,Corneal vascularization
pvalue,0.9771926
gene_symbol,Ddx27
mouse_life_stage,Early adult
analysis_id,uy1zlb3170dkc73
parameter_id,IMPC_EYE_009_001
gene_accession_id,MGI:2385884
mouse_strain,C57BL
