analysis_id,vs3189gx1h8xku6
parameter_name,B Cells
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cdin1
parameter_id,IMPC_IMM_063_001
pvalue,0.1721673
