mouse_life_stage,E15.5
pvalue,0.4905593
parameter_name,Corneal vascularization
analysis_id,17d54pg81a4hz3x
mouse_strain,C57BL
gene_accession_id,MGI:99501
gene_symbol,Fgb
parameter_id,IMPC_EYE_009_001
