analysis_id,n0464adr6x643w2
gene_symbol,Ivd
pvalue,0.4042622
parameter_name,Center average speed
gene_accession_id,MGI:1929242
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
