gene_symbol,Rnf114
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
analysis_id,52x148w30x97278
mouse_strain,C57BL
parameter_id,IMPC_XRY_065_001
pvalue,0.5719508
parameter_name,Lumbar processes
