gene_symbol,Plcb1
mouse_life_stage,Middle aged adult
analysis_id,713004ki98y6q74
gene_accession_id,MGI:97613
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.6268008
mouse_strain,C57BL
parameter_id,IMPC_HEM_039_001
