analysis_id,r95o47s31857iw2
gene_accession_id,MGI:1917604
parameter_name,Vocalization
parameter_id,IMPC_CSD_078_001
pvalue,0.2047456
gene_symbol,Secisbp2l
mouse_strain,C57BL
mouse_life_stage,Early adult
