gene_symbol,Sass6
parameter_id,IMPC_CSD_007_001
pvalue,0.4250343
mouse_life_stage,E12.5
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:1920026
analysis_id,p2v0o657n28v9j8
mouse_strain,C57BL
