parameter_name,Eosinophil number
mouse_strain,C57BL
pvalue,0
gene_symbol,Bach2
analysis_id,f98ln1k118zb240
parameter_id,MGP_PBI_040_001
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
