Analysis_id,hsw2uf41308673t
Gene_accession_id,MGI:2442483
Parameter_id,JAX_OFD_016_001
mouse_strain,C57BL
Parameter_name,Center permanence time
Mouse_life_stage,Early adult
Pvalue,0.9717992
gene_symbol,Usp37
