analysis_id,63h5116m4y77192
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
pvalue,0.7700196
parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
gene_accession_id,MGI:107414
