analysis_id,k1i6jk73u459y60
parameter_name,IgD+ mature B cell number
mouse_strain,C57BL
gene_symbol,Cldn19
pvalue,0.5762322
mouse_life_stage,Early adult
parameter_id,MGP_PBI_035_001
gene_accession_id,MGI:3033992
