gene_symbol,Slx4ip
parameter_id,MGP_IMM_017_001
pvalue,0.3647393
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
mouse_strain,C57BL
analysis_id,87ikhwi09bny336
