analysis_id,2004l4e9lwtul82
parameter_name,Hindpaw - size
pvalue,0.5650839
parameter_id,JAXLA_CSD_041_002
mouse_strain,C57BL
gene_symbol,AU040320
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
