analysis_id,8196of7p4dhmq2o
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:2651854
pvalue,0.1340552
gene_symbol,Atg4c
mouse_strain,C57BL
parameter_id,IMPC_FEA_106_001
mouse_life_stage,Early adult
