parameter_name,Basophil cell count
gene_accession_id,MGI:3033992
analysis_id,4mj6q6j29rm7192
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_037_001
gene_symbol,Cldn19
pvalue,0.1087744
