analysis_id,02998s04hs9v75a
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_009_001
mouse_strain,C57BL
pvalue,0.6712629
gene_symbol,Ufc1
gene_accession_id,MGI:1913405
