analysis_id,297429629187968
mouse_life_stage,Early adult
pvalue,0.8924863
mouse_strain,C57BL
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
parameter_id,JAX_OFD_016_001
parameter_name,Center permanence time
