analysis_id,9ov5r7hm944pxv4
pvalue,0.6782408
mouse_life_stage,Early adult
parameter_id,ESLIM_001_001_117
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
parameter_name,eye size
mouse_strain,C57BL
