analysis_id,ia8o0rs178nro9e
parameter_id,MGP_BMI_014_001
gene_accession_id,MGI:1916846
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_strain,C57BL
gene_symbol,Ap5s1
pvalue,0.06555135
mouse_life_stage,Early adult
