gene_symbol,Opn3
gene_accession_id,MGI:1338022
mouse_strain,C57BL
parameter_name,Eosinophils - % of CD45+
analysis_id,t0c87a682b52u45
pvalue,0.3691039
parameter_id,MGP_IMM_125_001
mouse_life_stage,Early adult
