parameter_name,Facial Morphology
analysis_id,f95a1fkc10rd84y
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_017_001
gene_symbol,Rab22a
pvalue,0.3761256
mouse_strain,C57BL
gene_accession_id,MGI:105072
