analysis_id,233dt618mc4107x
parameter_name,Spleen weight
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5147739
gene_accession_id,MGI:109585
parameter_id,UCD_OWT_003_001
gene_symbol,Pld1
