analysis_id,0d9fo1gxqw56ow3
gene_symbol,Sass6
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:1920026
mouse_strain,C54BL
mouse_life_stage,E9.5
pvalue,0.9952457
parameter_name,Blood Vessel Morphology
