analysis_id,rx46idc4029kqb5
parameter_id,IMPC_EYE_024_001
pvalue,0.9486189
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_name,Retinal Blood Vessels
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
