gene_symbol,Rufy4
mouse_life_stage,Early adult
parameter_name,Startle response
pvalue,0.4054198
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:3588214
mouse_strain,C57BL
analysis_id,b8zp9u21b7192q4
