gene_symbol,Cdin1
gene_accession_id,MGI:3026886
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
analysis_id,6l24u31254l79z4
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2187445
parameter_id,MGP_PBI_030_001
