analysis_id,4db82vurwgf77k4
mouse_strain,C57BL
gene_symbol,Npbwr1
pvalue,0.4795139
gene_accession_id,MGI:891989
parameter_id,MGP_MLN_058_001
parameter_name,Plasmacytoid DC - % of DC
mouse_life_stage,Early adult
