parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1276578
analysis_id,160to8b9v0erwd4
pvalue,0.4576172
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Heart weight
gene_symbol,Gfi1b
